iter	MultiClass
0	1.089656764
1	0.6218900986
2	0.4806049502
3	0.3852816262
4	0.3342091074
5	0.2950036524
6	0.2751148007
7	0.2574301001
8	0.2439135418
9	0.2385441211
10	0.2205803836
11	0.1991666599
12	0.1929916807
13	0.1664699626
14	0.1572050746
15	0.1508433361
16	0.1419017482
17	0.1311671694
18	0.1222639246
19	0.117282279
20	0.1119834392
21	0.1081615869
22	0.1046984396
23	0.09896547021
24	0.09572556272
25	0.09376450368
26	0.0901696472
27	0.08831623017
28	0.08402486019
29	0.08143905689
30	0.07927683182
31	0.07611792779
32	0.07310569734
33	0.07145828759
34	0.06968422368
35	0.06788515949
36	0.06633850999
37	0.06204991493
38	0.06086454637
39	0.05822265971
40	0.05694124098
41	0.05586018297
42	0.05465575601
43	0.05340812366
44	0.0526222573
45	0.05096933328
46	0.04990631496
47	0.04668771227
48	0.04579679654
49	0.04512453475
50	0.04420629326
51	0.04292570751
52	0.04200019617
53	0.04085022972
54	0.04001380296
55	0.03961278443
56	0.03848432898
57	0.03752102419
58	0.03674288335
59	0.03487226593
60	0.03335158756
61	0.03263000725
62	0.03160471258
63	0.03105248787
64	0.03073212335
65	0.03039355492
66	0.02970320863
67	0.02910027467
68	0.02856816814
69	0.02771477805
70	0.02741255374
71	0.02687746282
72	0.02642388078
73	0.02581530992
74	0.0253405251
75	0.02498645551
76	0.02445153129
77	0.02400855382
78	0.02354305599
79	0.02314540626
80	0.02261388236
81	0.02229694711
82	0.02195514381
83	0.02167911138
84	0.02138559251
85	0.02110253941
86	0.02096745065
87	0.02069115583
88	0.02050937619
89	0.02003996156
90	0.01992425783
91	0.01943010936
92	0.01915757821
93	0.0189850581
94	0.01879451211
95	0.01858331607
96	0.01835628043
97	0.01816571492
98	0.0179640633
99	0.01743205317
